,,,,,,,,,,,,,,,,
,We ran this method on the whole WebNLG dataset,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"1 island, bleu score evaluation, with inspirations",,,,,,,,,,,,,
,,Comics Character,0.0635,-0.3750,0.4905,0.3636,0.0000,0.4424,0.6576,0.0909,0.0303,0.0000,1.2879,19.4848,133.6364,2.9697
,,Company,0.2642,-0.1660,0.5740,1.2443,0.0000,0.5462,0.8962,0.6174,0.0000,0.2424,3.0833,23.9205,139.5606,2.9394
,,Food,0.0540,-0.1483,0.4776,2.7065,0.0000,0.4217,0.9304,0.0000,0.0000,0.0000,4.5652,27.0652,176.6522,4.5652
,,Mean of Transportation,0.2435,-0.2278,0.5787,0.2126,0.0000,0.6207,0.8690,0.0000,0.0000,0.0000,1.4138,14.3448,98.9310,2.6724
,,Monument,0.1633,-0.4936,0.5546,3.4838,0.5807,0.4910,0.8317,0.0000,0.0000,0.0000,3.1862,29.1172,178.0207,2.8448
,,Politician,0.3241,-0.3457,0.5565,0.5862,0.6483,0.4759,0.5931,0.0000,0.0000,0.0000,2.6552,20.2414,139.7241,3.5862
,,Sports Team,0.1591,-0.2735,0.4592,1.2259,0.0000,0.5151,0.8023,0.0000,0.0000,0.1969,2.6139,17.3243,124.5135,2.7452
,,University,0.1024,-0.5231,0.6223,0.4778,0.0000,0.5667,0.7356,0.0111,0.0000,0.0000,2.9111,30.1444,217.1444,3.7000
,,Written Work,0.2724,-1.0067,0.5927,1.8682,0.2698,0.2744,0.3628,0.0000,0.5581,0.4884,3.7674,40.1628,240.7907,2.3488
,,avg,0.1702,-0.3874,0.5205,1.0175,0.4108,0.4811,0.7552,0.1783,0.0889,0.0742,2.5414,21.7471,146.6654,3.1946
,,,,,,,,,,,,,,,,
,,,Fine-tuned BART,,,,,,,,,,,,,
,,,bleu,bleurt,meteor,senlen,llm as judge (gemma),llm as judge (qwen 3.6 fp8),themis,gramatic,additions,ommisions,avg_sentences,avg_words,avg_characters,avg_triples
,,Airport,0.3228,0.1456,0.6490,0.6123,0.5284,0.4863,0.6674,0.8105,0.4421,0.2842,2.4737,143.7368,24.9053,3.3474
,,Artist,0.4330,0.2528,0.7140,0.3333,0.5872,0.5725,0.7468,0.9083,0.3945,0.3761,1.5596,105.9358,18.5229,2.9083
,,Astronaut,0.5873,0.4147,0.7831,0.5955,0.6878,0.6732,0.9195,0.9634,0.2439,0.1463,2.2195,125.2317,23.5244,3.7073
,,Athlete,0.4954,0.4286,0.7482,0.2533,0.6360,0.5960,0.7240,0.9600,0.2800,0.1000,1.7800,108.0200,19.3200,2.9000
,,Building,0.6181,0.2669,0.7469,1.4638,0.6870,0.5826,0.8565,0.4783,0.2174,0.0870,2.1739,205.2391,39.1739,4.5652
,,Celestial Body,0.4518,0.3021,0.7084,0.7891,0.4531,0.3918,0.6367,0.3878,0.5714,0.2449,3.1224,135.5102,22.2041,3.2857
,,City,0.3380,0.1241,0.6258,0.5060,0.4819,0.4651,0.6072,0.8072,0.6867,0.3133,2.0723,112.1928,20.6145,3.0602
,,Comics Character,0.4396,0.2562,0.6755,0.3278,0.6533,0.6333,0.8800,0.9667,0.5333,0.0333,1.4333,121.2667,21.0000,3.5333
,,Company,0.6490,0.4569,0.7861,0.2551,0.8455,0.8182,0.9061,1.0000,0.1061,0.0606,1.6515,100.9091,16.3939,2.9697
,,Food,0.5112,0.3294,0.6584,0.4891,0.6739,0.6391,0.8826,0.9783,0.1522,0.0870,2.1522,134.8696,23.5217,4.5652
,,Mean of Transportation,0.3320,0.0373,0.6300,0.1839,0.5690,0.5345,0.6276,0.7069,0.4655,0.3966,1.6724,101.8621,17.7586,2.6724
,,Monument,0.5865,0.3243,0.7185,0.4529,0.6957,0.6957,0.9261,0.9783,0.1304,0.0435,2.1522,204.6957,30.7609,4.5652
